Location,Price,Zone,City,Area
"LOTES EN VENTA SENDERO DEL FRESNO, BLVD.SAN FELIPE Nº300","MN 1,308,560",Rancho Colorado, Puebla,118 m²
Fraccionamiento Haras Puebla,"MN 630,000",Puebla Centro, Puebla,160 m²
MN 1 Mantenimiento,"MN 10,500,000",LA PAZ, REFORMA PUEBLA,"La Paz, Puebla"
Prolongación Hispanosuiza,"MN 7,000",La Calera, Puebla,370 m²
Haras flor del bosque,"MN 1,260,000",Centro, Puebla,700 m²
"Terreno en venta 280,504.73 m2 zona Periférico Ecológico, La Calera, Puebla .","MN 420,757,095",La Calera, Puebla,280504 m²
osa mayor,"MN 26,000",Zona comercial Angelopolis, Puebla,3629 m²
Haras Bosque de las Luces,"MN 960,000",Centro, Puebla,240 m²
Gordojuela 6,"MN 1,620,000",Moratilla, Puebla,216 m²
VENTA DE TERRENO SOBRE LA 25 ORIENTE - ZONA DORADA INCREIBLE UBICACIÓN FRENTE A PARQUE ESPAÑA!,"MN 9,000,000",Ladrillera de Benitez, Puebla,1497 m²
Vicente Guerrero 6,"MN 3,371,000",Ignacio Zaragoza, Puebla,635 m²
Error,Error,Error,Error,Error
Prolongación Hispanosuiza 200,"MN 3,584,000",La Calera, Puebla,512 m²
Avenida San José Xilotzingo 10513,"MN 16,900,000",Los Gavilanes, Puebla,2600 m²
17 Sur,"MN 3,840,000",Zona comercial Angelopolis, Puebla,438 m²
c pino,"MN 800,000",Lomas Flor del Bosque, Puebla,156 m²
farol,"MN 4,870,000",Santa Cruz Guadalupe, Puebla,487 m²
Camino a San Francisco,"MN 16,650,000",San José del Puente, Puebla,1511 m²
Calle Chabacanos 4509,"MN 24,200,000",Fraccionamiento Santa Cruz Buenavista, Puebla,2200 m²
Lazaro cardenas norte,"MN 1,980,000",San Bernabe Temoxtitla, Puebla,501 m²
Terreno EN Venta EN Boulevard 5 DE Mayo Puebla Centro],"MN 17,000,000",Puebla, Puebla,819 m²
Error,Error,Error,Error,Error
Terreno Comercial EN Venta Boulevard 15 DE Mayo Cerca Hermanos Serdan,"MN 30,925,500",Puebla, Puebla,4123 m²
Terreno EN Venta EN Periferico Ecologico AL Lado DE Fracionamiento Punta DEL SOL,"MN 128,884,000",Puebla, Puebla,36824 m²
El pedregal Residencial La Calera 0,"MN 3,529,000",La Calera, Puebla,512 m²
"Terreno en venta, zona 11 Sur, INVERSIONISTAS!, Mercado Independencia, Las Torres, Puebla .","MN 93,332,900",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,16666 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
"Av. 16 Ote. 4817, Unidad Magisterial México 68, 72300 Puebla, Pue., México","MN 14,931,000",Unidad habitacional Unidad Magisterial México 68, Puebla,3318 m²
vicente guerrero 915,"MN 11,224,350",San Francisco Totimehuacan, Puebla,3741 m²
Club de Golf Las Fuentes,"MN 12,000,000",Club de Golf Las Fuentes, Puebla,870 m²
"Terreno en venta 5,012 m2, zona antigua Cementera, Galerías Serdán, Puebla. .","MN 42,608,341",Equipamiento Zona Cementos Atoyac, Puebla,5012 m²
